sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_2_flux,sc_ep_3_flux,sc_ep_4_flux,sc_ep_5_flux,sc_ep_8_flux,sc_ep_9_flux,sc_hr1,sc_hr2,sc_hr3,sc_hr4,sc_extent,sc_ep_8_fmin,sc_ep_8_fmax,Class
284.0443301,1.223589909,0.26286831,2931.761,1.77E-16,1.10E-16,1.05E-14,4.00E-14,7.29E-14,1.26E-13,2.56E-14,0.9851463,0.8951749,-0.028191654,-0.40701643,34.960793,1.08E-13,1.37E-12,1
286.8097931,9.322056992,0.28257465,107883.2,5.03E-15,9.01E-15,3.87E-13,1.95E-12,2.09E-12,4.43E-12,1.47E-12,0.26271415,0.9461383,0.28271654,-0.5781022,0,3.56E-12,5.48E-12,1
293.0584081,10.99254035,0.18354371,17441.64,1.74E-14,4.46E-14,5.67E-14,3.93E-14,3.44E-14,1.95E-13,1.66E-13,0.42492658,0.06650198,-0.6075883,-0.6559715,0,1.86E-13,2.17E-13,1
345.2845029,58.87916034,0.21669509,8870000,1.44E-13,1.74E-12,1.35E-11,1.57E-11,3.72E-12,3.49E-11,2.86E-11,0.8390531,0.75973344,-0.41714048,-0.8759066,0,2.94E-11,6.46E-11,1
81.50536307,-66.07641088,0.69593173,15033.31,8.48E-14,4.99E-13,3.99E-13,2.75E-13,1.45E-13,1.40E-12,1.21E-12,0.748841,-0.16422878,-0.5924171,-0.7550922,0,1.38E-12,1.60E-12,1
93.54312393,-33.49847784,0.50591826,2522.163,2.60E-14,2.63E-14,1.59E-14,5.07E-15,0,8.01E-14,7.12E-14,-0.051999167,-0.26771152,-0.8208432,-1,0,4.41E-14,8.01E-14,1
260.8465197,-28.63264359,0.40053526,52369.71,1.09E-14,6.87E-14,2.19E-13,5.85E-13,1.41E-12,2.29E-12,6.84E-13,0.7245246,0.4787507,-0.033974998,-0.2402075,0,2.29E-12,2.29E-12,1
272.4628272,-19.73107598,0.09353521,4280000,1.48E-14,2.64E-13,7.68E-13,1.74E-13,3.92E-15,1.05E-12,1.45E-12,0.8657342,0.71767277,-0.32306436,-0.8194347,0,8.73E-13,1.07E-10,1
279.5132872,-6.926122383,0.40788433,161813.6,1.15E-15,2.35E-15,3.01E-14,1.31E-12,5.88E-12,7.22E-12,6.58E-13,0.2910988,0.8272192,0.8788432,0.05353636,0,7.15E-12,1.06E-11,1
299.9032286,20.80453994,0.80722916,612.0859,2.67E-15,1.09E-14,1.52E-14,1.98E-14,2.18E-14,7.15E-14,4.76E-14,0.6016307,0.2234721,-0.3487214,-0.6129399,0,7.15E-14,7.15E-14,1
266.416441,-29.00800708,0.06020576,145675.3,2.99E-16,7.35E-16,7.02E-15,4.80E-13,1.13E-12,1.62E-12,1.85E-13,0.32438096,0.710028,0.94072133,-0.15827891,64.93346,7.30E-13,1.03E-10,1
282.2567064,-0.021442071,0.48743132,67360.46,1.19E-15,1.02E-15,3.17E-14,8.99E-13,3.39E-12,4.32E-12,4.69E-13,-0.04052579,0.92298967,0.8210706,-0.0379175,0,4.28E-12,4.44E-12,1
340.4250991,-52.60996701,0.3855782,3942.643,1.28E-14,1.60E-14,9.70E-15,4.30E-15,5.15E-15,4.85E-14,4.12E-14,0.059478767,-0.3273955,-0.7359805,-0.4084818,0,4.85E-14,4.85E-14,1
248.9659691,-47.58984669,0.29647836,8415.829,5.09E-17,2.81E-17,2.44E-16,3.49E-14,9.54E-14,1.29E-13,1.62E-14,-0.30245534,0.6935466,0.96530885,-0.038633846,0,4.35E-14,3.76E-13,1
283.1605369,0.672158109,0.21581584,1656.017,4.92E-16,6.51E-16,4.96E-14,1.27E-13,1.36E-14,1.94E-13,3.68E-13,0.39521214,0.96914387,-0.051474717,-0.9519913,0,1.77E-13,2.17E-13,1
219.2583248,-59.98383526,0.8061788,176.2639,8.73E-17,1.82E-17,1.32E-16,5.81E-15,1.90E-14,2.51E-14,3.53E-15,-0.5624405,0.4388379,0.8773884,-0.1108087,0,2.51E-14,2.51E-14,1
278.7172078,-8.765447994,0.5869617,18268.86,8.93E-17,3.71E-16,2.73E-15,1.27E-13,4.46E-13,6.03E-13,7.36E-14,0.2725526,0.7904684,0.94346666,-0.18322596,37.26166,2.58E-13,1.64E-12,1
93.43295611,-2.012788276,0.7708756,319.4077,1.14E-15,4.65E-15,4.40E-15,2.72E-15,0,1.29E-14,1.40E-14,0.6416313,0.0460119,-0.639997,-1,0,1.29E-14,1.29E-14,1
99.02049916,51.48341167,0.66724163,496.8597,4.71E-15,7.39E-15,4.03E-15,3.90E-15,7.08E-15,2.75E-14,1.95E-14,0.147926,-0.3878719,-0.5111156,-0.3773727,0,2.75E-14,2.75E-14,1
133.9008524,-46.73724847,0.4919828,2879.452,9.05E-16,4.37E-15,3.16E-14,1.09E-13,2.24E-13,3.70E-13,1.55E-13,0.5573702,0.7389059,0.1015001,-0.3343326,0,3.70E-13,3.70E-13,1
228.7444624,-59.42924623,1.9985603,17.66039,3.42E-17,4.86E-15,4.63E-15,6.07E-16,1.91E-14,3.30E-14,1.46E-14,0.9797188,-0.100816,-0.8463293,0.3053393,0,3.30E-14,3.30E-14,1
195.6986245,-63.8357184,0.17844644,1800000,3.09E-14,2.72E-13,9.11E-13,1.74E-12,3.57E-12,6.51E-12,2.83E-12,0.80506,0.64479977,-0.069617644,-0.39227146,0,1.22E-12,4.09E-11,1
197.2006737,21.45192492,0.13227303,459883.5,1.61E-12,1.36E-12,5.51E-14,4.26E-16,3.72E-16,3.03E-12,1.91E-12,-0.13059573,-0.9308017,-0.9944536,-0.045756284,0,2.92E-12,3.17E-12,1
84.60483957,28.28588188,1.9034716,22465.22,6.48E-14,3.80E-13,3.33E-13,4.01E-14,3.25E-15,8.35E-13,9.45E-13,0.6818836,-0.1607426,-0.9203697,-0.9702708,0,8.35E-13,8.35E-13,1
121.5974766,-41.37517383,0.2617403,158164.2,1.14E-12,5.28E-13,3.08E-14,2.85E-16,1.08E-15,1.70E-12,7.63E-13,-0.41210288,-0.9066449,-0.99201626,0.009164896,0,1.62E-12,1.87E-12,1
169.8094437,-61.46361221,0.2955498,303887.2,1.41E-16,1.84E-15,2.77E-14,5.20E-14,7.42E-14,1.52E-13,6.62E-14,0.4789159,0.9151121,0.32150602,-0.50896007,0,6.64E-14,1.62E-11,1
255.3048446,-30.11309137,0.45450127,2846.678,7.14E-15,6.72E-14,1.44E-13,2.10E-13,7.02E-13,1.14E-12,4.13E-13,0.79664594,0.21886428,-0.34711236,-0.001464354,0,8.37E-13,1.32E-12,1
272.1638599,-20.41109074,0.14209267,560073.3,2.21E-15,4.11E-15,4.98E-14,2.29E-12,7.34E-12,9.62E-12,1.17E-12,0.255698,0.81764346,0.8937092,-0.03552411,0,5.99E-12,2.95E-11,1
308.054763,41.45672279,0.08970236,73435.09,1.58E-15,1.81E-14,1.15E-13,2.31E-13,5.42E-13,9.93E-13,3.40E-13,0.8151941,0.7813487,0.084914766,-0.34726003,12.890008,7.06E-14,4.35E-12,1
312.7812469,-8.460492247,0.99676675,33.43747,5.21E-16,1.54E-15,1.08E-15,1.63E-15,1.78E-15,7.97E-15,4.75E-15,0.3281485,-0.2200754,-0.2495277,-0.3301683,0,7.97E-15,7.97E-15,1
228.4814123,-59.13587559,0.37703165,241100.6,2.21E-14,1.72E-13,2.81E-12,1.13E-11,3.21E-11,4.63E-11,9.19E-12,0.7513644,0.87622195,0.17143221,-0.14465907,6.88222,3.84E-11,6.70E-11,1
274.8922852,-14.9676183,1.3467385,28459.55,9.79E-15,1.02E-13,6.91E-14,3.27E-15,2.59E-16,1.87E-13,2.50E-13,0.8252429,-0.24657519,-0.9664062,-0.97559625,0,1.83E-13,1.88E-13,1
345.6958295,44.70614541,0.7083195,654.815,4.23E-15,1.00E-14,9.33E-15,4.19E-15,1.26E-15,3.08E-14,2.99E-14,0.3966495,-0.08429557,-0.7206038,-0.7176264,0,3.08E-14,3.08E-14,1
287.4476959,-37.7371433,0.970997,284.1297,1.76E-15,5.07E-15,5.21E-15,5.06E-16,0,1.32E-14,1.52E-14,0.4346154,-0.065798275,-0.9203072,-1,0,1.32E-14,1.32E-14,1
85.04617988,-69.33169228,0.41915083,2090000,1.75E-13,2.26E-12,6.94E-12,1.25E-11,1.72E-11,3.91E-11,1.83E-11,0.8571014,0.45217142,-0.22910042,-0.4711979,0,3.69E-11,4.25E-11,1
65.00801106,-50.38005352,0.2029552,9841.995,1.00E-13,6.19E-15,1.32E-15,2.47E-16,5.64E-16,1.11E-13,1.22E-14,-0.89578956,-0.67645025,-0.9061932,0.08523159,0,8.17E-14,1.18E-13,1
267.2203008,-20.36052281,2.143423,212.3074,4.55E-15,2.92E-14,1.01E-13,7.43E-14,2.96E-13,5.14E-13,2.34E-13,0.771858,0.5917395,-0.5602323,-0.1376175,0,5.14E-13,5.14E-13,1
262.5902927,-23.0752838,0.696327,291.8496,4.73E-16,5.62E-15,8.83E-15,2.89E-15,2.65E-15,2.00E-14,2.29E-14,0.7786713,0.2339604,-0.7976716,-0.2150275,0,2.00E-14,2.00E-14,1
354.2738344,61.85053961,0.5429687,1164.107,2.59E-15,1.28E-14,6.31E-15,1.94E-15,3.60E-15,2.81E-14,2.85E-14,0.6320837,-0.4089072,-0.7984322,-0.3749235,0,2.81E-14,2.81E-14,1
153.1391268,53.11717112,0.48631495,483.604,7.85E-15,1.40E-14,1.44E-14,4.11E-15,4.63E-15,5.29E-14,4.21E-14,0.26389283,0.019793205,-0.7865111,-0.30144253,0,5.16E-14,5.43E-14,1
258.5240591,-38.17519088,0.20202605,125768.1,2.13E-15,4.47E-15,1.40E-13,1.02E-12,7.83E-13,1.94E-12,6.84E-13,0.30525964,0.9250815,0.4403098,-0.68047625,0,1.61E-12,2.15E-12,1
259.5568099,-38.42130234,0.6529361,702.9269,1.02E-16,5.47E-15,2.58E-14,7.12E-14,1.79E-13,2.83E-13,7.62E-14,0.9527997,0.6114476,-0.02473974,-0.2236701,0,2.83E-13,2.83E-13,1
272.4591448,-23.53956359,0.352206,3872.848,4.54E-16,8.76E-15,3.39E-14,5.03E-14,8.85E-14,1.82E-13,6.97E-14,0.8865246,0.56137174,-0.29644775,-0.38203004,0,1.33E-13,2.26E-13,1
171.1635998,-59.2723028,0.3512533,2517.682,3.36E-17,0,1.10E-13,3.69E-13,5.22E-13,1.01E-12,0,-1,1,0.06354226,-0.48508123,0,9.25E-13,1.10E-12,1
17.03487158,-14.53077862,0.5728419,683.3145,3.25E-15,2.99E-15,1.41E-15,1.17E-15,4.12E-15,1.33E-14,7.38E-15,-0.09264537,-0.4195175,-0.5258511,-0.2387388,0,1.33E-14,1.33E-14,1
215.0347998,-60.80434158,0.42088896,1487.482,6.21E-17,1.56E-17,2.76E-15,6.60E-14,2.12E-13,2.80E-13,4.26E-14,-0.3292371,0.95692146,0.76723087,-0.14004633,9.347679,1.79E-13,5.79E-13,1
243.6521788,-22.50866342,0.43364117,1070.432,5.46E-15,1.20E-14,9.86E-15,4.06E-15,4.18E-16,3.28E-14,3.20E-14,0.37708798,-0.13308887,-0.74352014,-0.91572934,0,2.97E-14,4.21E-14,1
34.52618794,42.5383207,0.50121236,3888.574,1.06E-14,2.75E-14,5.32E-14,1.30E-13,2.97E-13,5.19E-13,1.85E-13,0.4532684,0.3743749,-0.052665234,-0.3690352,0,5.19E-13,5.19E-13,1
275.5751838,-16.07366916,0.29388255,599848.8,3.50E-14,2.22E-13,3.06E-13,1.27E-13,1.05E-14,4.75E-13,9.30E-13,0.7823192,0.59791374,-0.25434387,-0.78988975,0,2.48E-13,2.18E-11,1
277.8923366,-9.866949935,1.001471,96.85168,1.84E-16,3.54E-16,2.02E-15,1.21E-14,2.00E-14,3.49E-14,9.75E-15,0.3372903,0.7341095,0.4010441,-0.5037621,0,3.49E-14,3.49E-14,1
265.1081519,10.00173657,0.19359688,33708.04,6.31E-14,5.20E-14,1.36E-14,7.80E-15,1.31E-14,1.50E-13,1.01E-13,-0.14670813,-0.6318948,-0.6579705,-0.44143716,0,1.46E-13,1.52E-13,1
260.7469884,-37.20190328,1.2142432,176.16,5.02E-16,6.80E-15,1.56E-14,1.95E-15,1.99E-15,2.85E-14,3.52E-14,0.9520878,0.2784917,-0.9204504,-0.7155883,0,2.85E-14,2.85E-14,1
270.2498558,-24.85777315,1.9662099,369.8661,1.55E-16,1.94E-16,8.70E-15,1.46E-13,4.16E-13,5.71E-13,8.05E-14,0.6540946,0.984843,0.7057019,-0.1904681,0,5.71E-13,5.71E-13,1
